Gm23265	Gm23862
Ighv8-9	Lat2
HLA-DPA1	H2-Oa
B3gnt4	Galnt5
Sgip1	Epn2
Mrpl47	Mrpl53
Cdk7	Pold4
Apln	Kng2
PRAMEF8	Pramel6
Tomm22	Grpel1
TAS2R13	Casr
IGHD	IGKV3-20
Apol10a	Cst5
Rab3a	Stx1a
Haus6	Tubgcp3
Klhl11	Fbxo40
Nrxn3	Shank3
Apoe	Cst5
Oog1	C130073F10Rik
Gm23089	Gm23047
Tcirg1	Atp6v1h
Dcaf13	WDR46
Arhgap39	Arhgef7
Xrcc2	Rad51ap1
Srrm2	Ddx5
Rnf139	Ubxn1
Sec24d	Cd59b
Alyreffm10	Sf3b4
Eif4a2	Rpl27
Egf	Wnt5a
IGHV3-7	Pik3r2
Mrpl14	Mrps11
Ighv1-59	Igkv8-18
Sf1	Hnrnph1
Cyp2d22	Cyp2d12
Elmo2	Igkv6-20
Fbn1	CYR61
Rasgrp3	Nefl
Gnal	OR1L4
Src	Ephb3
POLR2A	Cops7b
Rab5a	Dnm2
Ncor1	Med9
Ighv1-19	Ptpn6
Ccdc8	Obsl1
Fbxo7	Cand1
Gpc4	Cspg4
Aurkb	Anapc2
Dnajc3	Kng2
Fuca2	Alb
Lpar2	App
Galnt1	Muc4
Cthrc1	Cthrc1
Alyreffm8	Bcas2
Spin2e	SPIN2B
Fbn1	Itih2
Ighv8-2	C4a
Ighv8-12	Ighv1-37
Gpr68	Plcb1
Nup43	Uba2
Mrps12	Mtif3
Col11a1	Col8a1
TAS2R50	Sstr3
WNT3	Fzd6
Adra1b	Kiss1
Rps6	RPL21
Cdc5lrt8	Sf3a2
Adra1b	Npffr2
Prkag2	Lamtor1
Pak3	Cttn
Rpsa	RPL5
Cish	Tulp4
Fcer1g	Lyn
Erc2	Erc2
Rock1	Arhgef26
Rpa3	HIST3H3
Sae1	Nup153
Fem1a	Fbxw16
Zfyve28	Zfyve28
Cdc25b	Anapc10
Ocrl	ARHGEF5
Or4c110	Gngt1
Sos1	Pspn
Mrps5	Mrpl14
Cd247	Cd3e
CCL23	CXCL1
Smg6	Rps27a
Mre11a	Eya1
Uba2	Smc5
Pabpn1	Bcas2
Prkcq	IGKV3-15
Polr2j	Sf3a2
Tbp	Cdk7
Cep290	Tubgcp6
Pik3cg	Lpar4
Gnal	Or52e8b
Hrh4	Adcy5
Stam2	Dnm2
Bop1	Wdr12
Ighv8-2	Arpc1a
Zfp511	Zfp511
Ezh2	Suz12
Ero1a	Rps5
Rpl29	Eif4b
Sel1l	Rps27a
Tas2r109	Npy5r
Mbl2	C1s2
Stard8	Arhgef6
H2-Ab1	Sec24b
Dhx9	Cdc5lrt4
Gm22046	Gm23047
Ubc	Siah1a
ATP5C1	ATP5F1
Ighv1-66	IGHA2
Rmi1	Topbp1
Car12	Idh3a
Ccnh	Xab2
Apol9b	C3
Gng13	Adcy3
Rbm5	Dhx16
Ighv1-66	IGHV4-34
Psmb5	Adrm1
Ninl	Cenpj
Utp15	SNU13
Eftud2	Polr2l
Fbxl13	Fbxw18
Avpr2	HSPA8
Gm22812	Gm23313
Pcdhb18	Pcdhb18
Dvl3	Pip5k1b
H3F3A	Ajuba
Pramel35	Pramel60
Fgf10	Fgf2
IGHD1-7	IGHD1-7
PTEN	Fyn
Ighv8-13	Syk
Pik3r1	Blnk
Sstr5	Casr
Gna14	GNRH2
Klk5	Spink5
IGHV1-69	Colec10
Tas2r125	Tas2r105
Haus4	C2cd3
Cux1	Fgf17
Npsr1	Sctr
Ighv1-50	Grap2
Tas2r117	P2ry12
Rab7	Osbpl1a
Hrh4	TAS2R9
Syce2	Gm29866
Cul2	Asb12
Dtx3l	Fbxl7
Orc6	Ccnb1
Cep57	Cep70
Men1	C4A
Ndufaf2	Ndufb9
Hcar2	P2ry12
Nup54	Pan3
MIR4779	MIR4779
Cxcl9	Grm6
Snrpb2	Alyreffm2
Snrnp200	Lsm6
Flrt2	Fgf5
Cyp11a1	Tspoap1
Ldlrap1	Hip1r
Pde4b	Pde4d
Ighv8-9	Igkv6-20
P2ry13	Agtr1b
Avp	Grm1
Gprc6a	Ntsr1
Ppp1r11	Ppp1r11
Snord116l8	Gm26433
Defa2	Defa33
RDH13	RDH13
Prpf3	Snrpa1
Cep192	Cep89
Prpf19	Rbm17
Kdr	Hspg2
Cenph	CENPP
App	Ntsr1
U2surp	PRPF8
Ighv1-67	Arpc1b
Eif4a3l2	Sf3a3
Gm20730	Ighv1-62-1
Brca1	Gm20835
Srsf4	SNU13
Rps18	RPL5
Srp9	Spcs1
Eif3h	Eif3b
Egln2	Rbx1
Fbxw27	Fem1b
Pnoc	Npy1r
CXCL11	Plcb2
Rps27	Eif2s2
Hsd3b7	Cyp7a1
Tas2r120	Sst
Ncan	Dse
SPC25	Sgo2b
Eif4a3	Smg1
Clta	HLA-DRB3
Spopl	Tdpoz2
Psme4	Psma6
Cul2	Fbxo22
Rbm5	Snrpa1
Vwf	F10
Nms	Chrm4
Srsf7	Thoc6
Ssr3	Rpn1
Wfdc5	Wfdc5
Tas2r115	RXFP3
Ghrhr	Htr7
Blm	Ercc1
Mtnr1b	Oxgr1
Lamb2	Apoa1
Gab2	Ighv1-81
Srsf7	Hnrnpa2b1
Alms1	Mzt1
Asb11	Keap1
Hba-a2	Apol10b
Gm26270	Snord116l3
Gfra4	Hbegf
Ccnt1	Snapc2
Yes1	Efnb1
Matn3	Il6
Tmem67	Cep162
Cyfip2	Fcgr4
IGKV1-33	Ighv1-15
Gm13043	Oog1
Casr	Npffr1
B9d2	Cenpp
Terf2ip	Xlr
Igkv8-16	IGLV3-21
Fyn	Rock2
Gm22941	Snord116l10
Wnt3	Fzd6
Psma8	Psmd2
Hnrnpm	Syf2
Dync1h1	Ccnb1
Fbxw8	Klhl41
Adra2c	NPBWR2
Serpina1e	Prkcsh
Rhobtb2	Tiam1
IGKV1-39	Shc1
Gspt2	Ppp2r2a
Lpar2	CCL25
Mfge8	Mia3
Rps8	Rpl37
F2r	Lpar4
Dmp1	Msln
Rhobtb2	Mcf2
Snrpe	U2af2
Knl1	RCC2
Chrm3	P2RY11
Klhl11	Fbxl4
Ackr3	Ccr3
P2ry4	App
Ddx23	Polr2h
Klhl21	Fem1b
Trh	Agtr2
Grin2c	Sptbn5
Ighv8-5	IGLV3-19
Eftud2	Hnrnpf
Inpp5f	Pip5k1b
U2AF1L5	Bud31
IGLV1-51	Ighv6-4
Mrps5	Mrpl36
Tlr4	Map2k4
Ptk6	Erbb4
Ppp2r1a	Cep63
Fcnb	IGHV3-48
Atp10d	Atp10d
Ubc	Vdac1
Gnb1	Or1a1
TAS2R50	Tas2r136
Ddx23	Isy1
ARPC4-TTLL3	ARPC4-TTLL3
Ddx5	Lsm7
KRT31	Krt33a
Fgf15	Lat
RPN2	Ssr4
GABBR1	Gngt1
Fbxo4	Asb18
Fbxl12	Nedd8
Cdc5lrt5	Prpf6
Cxcl10	CXCL5
MT1G	MT1G
Dcaf5	Cand1
Ndufa6	Ndufb10
Smg8	Rps27a
Utp14b	Dhx37
Fbxw20	Klhl3
Cxcl9	PF4
Kremen2	Dkk1
Klhl25	Fbxl8
Adcy5	Npy1r
Brca1	Gm10096
Trav7d-6	Trav7d-4
Ednra	MLN
Slco1a8	Abcb11
MASP1	Igkv8-18
Cdc5lrt7	Sf3a2
CXCL11	RLN3
Lias	Dhtkd1
Pramel1	Pramel36
Alyreffm4	Cwc22rt3
Tas2r117	TAS2R7
Ncbp1	Thoc6
Apeh	RPL7A
Pdpr	Pdp2
Leo1	Eaf1
Tas2r136	Cxcl10
LINC00958	LINC00958
Epgn	Epgn
Sycp2	Gm20896
Pkd1	Cnga4
FGFR1OP	Ywhag
Hrh4	Htr1f
Pramel40	Pramel24
Mc5r	Gpr20
Polr2d	HSPA8
Apol11b	Mia3
IGHV2-70	Ighv1-62-3
SNRNP27	Dhx16
Arhgap25	Arhgef5
Gga3	Rabep1
Snord116l1	Gm22851
Ighv1-22	Igha
USP17L21	USP17L21
IGHV1-69	Igkv6-32
Gnai3	Chrm4
Pik3r5	Rxfp4
Ppihl	Cwc22rt6
Cpsf1	Alyref2
Sf3a3	Hnrnpc
Ndufs6	4933405O20Rik
Timm8a2	TOMM5
Eme1	Ercc1
Src	Rap1b
Adcy2	Ptgdr
Psmd14	Psmd9
Chst9	Chpf
Fbln1	Mfap2
Eif2b5	Eif3a
Nup98	Dsn1
Ncbp1	Lsm4
CXCL3	Sstr5
Ntsr1	Lpar3
Col6a3	Col18a1
Igkv18-36	IGLV1-51
Lmna	Gm28553
Gspt1	Rps13
GPR75-ASB3	Cul2
S1pr3	Oprk1
Alyreffm13	Dhx38
Mrps6	Mrpl35
Ccl6	Avpr1b
Snord116l10	Gm26504
Gm23141	Gm22812
Ktn1	F5
Sumo1	Nup210
Mcm6	Mcm4
Rpl19	Rps21
Ap2a1	Gria1
Eif3h	Rps7
RPP21	Rps4x
Rhobtb1	Arhgap39
Atp5f1b	Atp5f1b
Tpmt	Mat2a
Nup88	Eif4a1
Csnk1g3	Csnk1g3
Eif1ax	Rpl35
F2	Arhgef25
Serpinc1	Scg2
RPS17	Srpra
P2ry6	Edn2
Nup93	Rbm8a2
Arhgap29	Rhoq
Kif2a	Cenpk
Tek	Pdgfa
Arpc1b	Igkv7-33
Ccnb2	Cenpe
SRC	Yes1
Nxnl1	Nxnl1
Penk	Npw
Hnrnpa3	Cwc25
Rhob	ARHGEF4
Ighv1-23	Cd79b
Ap2a1	Rps6ka1
Pcbp2	DHX16
Npy4r	Ccl5
Dnajc6	Tfrc
Tnfsf10	Traf2
Alyreffm1	Hnrnph2
Ighv8-4	Igkv8-26
Dync2h1	Dynlrb2
Shisa5	Mia3
Tas2r124	S1pr3
Wls	Sfrp1
Gm13057	Pramel23
TTC30B	Ift122
Rps14	Wdr46
Rxfp4	Nmur1
Ndc1	Kpnb1
RPL14	Srp54c
TAS2R13	Cxcl5
Gna13	Rln3
Npsr1	Cckar
Jchain	Ighv1-47
Zfp994	Zfp947
Uba52rt	HERC5
Rbm8a2	Rps27
Bmp15	Scg2
Pramel1	Pramel12
CXCL2	Drd3
Gpr20	Adrb1
Eif4a3l2	RPL17
Ercc8	Ercc3
Taf3	Taf9b
PRAMEF10	Pramel48
Ntsr2	Gpr17
Mnat1	Cul4a
Ccr8	Apln
Ighv1-5	Igkv8-24
Gm26504	Gm22258
Itpr2	Itpr3
Mrpl34	Mrps10
Diaph2	Sec13
Gm25157	Gm26332
Cysltr1	Cckar
Polr1c	Rpp40
Cyb5r1	Cyb5r1
EIF4A3	Srrt
Tubgcp2	Tubb5
Fcnb	Igkv8-21
Ccl6	NPBWR2
Igfbp3	Spp2
Rps9	Rpl34
FBXL21	Fbxo32
Aurkb	Ubb
Tas2r105	Ccl20
Lat	IGHV3-23
Pdyn	Arhgef1
Tas2r106	Adcy4
TAS2R41	Agtr2
Tpm1	Tnnt3
Drd1	Adcy9
Ssxb14	Ssxb8
Polr2k	Ercc2
Slc25a27	Ndufb6
Cdk2	Cdc27
Synb	Gm27179
Trit1	Nup54
Tacr1	Tac1
Adora3	TAS2R41
Defa5	Defa35
Penk	Ccr2
Lsm3	Sf3a3
Ighv1-19	Vav3
CANX	Sec31a
Gpc2	Ext2
Terf1	Gm21861
Ercc6	Isy1
Ncoa3	Med1
Hnrnpa3	Ccar1
Arhgef12	GABBR1
Smndc1	Hnrnpa0
Sycp2	Gm21173
Tra2b	Sf3a1
Muc5b	St6galnac2
Eif4a1	ZCCHC6
Polr1b	Rrn3
Gnal	Or5an1
Hrh4	Npb
Krtap10-31	Krtap12-1
Pik3c2a	Egf
Rab3ip	Exoc8
Npy	Cxcl16
Haus7	Cep290
Pfdn1	Pfdn5
App	Npy1r
B4galt3	Fmod
Fbxl13	Spsb3
Pramel50	PRAMEF14
Rps13	Eif5
Avp	Tacr1
Actn2	Ncam1
Myo10	Ighv1-78
Atp1a2	Fxyd6
Gm10096	HIST3H3
Rps9	FBL
Ucp1	COX1
Ap2m1	Rps6ka3
Ighv1-47	Igkv7-33
B3gnt3	Kera
Trp63	Trp73
IGLV1-51	IGHV1-2
Wnt8b	Fzd5
Alyreffm9	Sugp1
ATP5E	ATP6
Bche	Bche
Kif2b	Cenpt
Nms	Ccr10
Ccl27a	Anxa1
Fcer1a	Ighv1-66
Rhot2	Arhgef3
Polr2h	Cwc22rt7
Kxd1	Mad2l2
Gal	PF4
Hnrnph1	Snrpa1
DDX39B	Nup155
Gapvd1	Sh3gl2
Eif4a3	Pcf11
IGHV3-33	Igkv8-27
Nms	Tas2r107
Gna14	P2ry2
Ighv1-31	Blnk
Fpr-rs7	Bdkrb1
Pkn1	Cdc25c
Fbxl3	Btbd6
Arhgef16	Rhoa
Rpl8	Rps15a
Sptbn2	Pdgfb
Arhgap8	ARHGEF26
Vav2	Stard13
Hnrnpa1	Pcbp2
Fbxw2	Btbd1
Tas2r125	Mtnr1a
Pik3r1	Nrg4
Cul5	Lmo7
Klhl22	Dcun1d1
Grin2b	Camk2a
Srsf9	Poldip3
Rasgef1a	Fgfr3
Srsf1	Snrnp48
Tpd52l2	Tpd52l2
Pramel30	Pramel60
Insr	Atp6v1f
Lpar5	Ccr4
IGKV2-28	Igkv6-25
Gfra2	Fgf5
Penk	Ahsg
Gtf2f2	SNRPD2
CCL25	Cxcl9
Polr2e	Snw1
Ube2n	Ppp5c
Smndc1	Alyref
Psmb9	PSME1
Galr2	Tas2r118
H2-M1	HLA-G
Alyreffm15	HNRNPR
Sema3g	Sema3g
Rac2	Trio
Pik3r2	Igkv17-127
Farp2	Fes
GCGR	Mc5r
Ifna7	Ifnab
Plcb4	Trpc7
Cenpm	Cenpe
Med9	Crebbp
Ska1	Mapre1
Fbxo44	Fbxw8
Cd40	Traf2
