CHEMBL4297789	RPL14
CHEMBL1774080	Drd2
CHEMBL403989	Kdr
CHEMBL501	Slc6a3
CHEMBL4297832	C1s1
CHEMBL3544909	Vdr
CHEMBL1200470	Atp4a
CHEMBL1201613	Insr
CHEMBL623	Htr2a
CHEMBL569713	Chrm1
CHEMBL1201170	Impa1
CHEMBL2109124	RPL31
CHEMBL1637	Pole2
CHEMBL3545135	Ndufa10
CHEMBL1683590	Tuba1a
CHEMBL502182	Gnrhr
CHEMBL517427	Cacna1d
CHEMBL3544966	Pik3r2
CHEMBL483254	Hdac8
CHEMBL1200411	DRD4
CHEMBL940	Cacna1h
CHEMBL940	Cacna2d1
CHEMBL123292	RPS3A
CHEMBL3185958	Esr1
CHEMBL1201486	Scn9a
CHEMBL1750	Rrm2
CHEMBL191413	Cxcr2
CHEMBL1236682	Map2k2
CHEMBL744	Scn3a
CHEMBL2096631	Gabrb2
CHEMBL2141296	PSMB9
CHEMBL1201535	Adra1a
CHEMBL129857	Flt3
CHEMBL3707331	Tacr1
CHEMBL856	Gabrb2
CHEMBL3833353	Ramp1
CHEMBL1743024	Igf1r
CHEMBL2109667	Loxl2
CHEMBL54	Htr2a
CHEMBL1201476	Serpinc1
CHEMBL686	Ptgs1
CHEMBL6622	Gucy1a1
CHEMBL565612	Prkch
CHEMBL2111110	Kcnq2
CHEMBL4297599	Pold2
CHEMBL644	Hrh1
CHEMBL2109465	Il13
CHEMBL2403108	NPM1
CHEMBL254219	Atp1a3
CHEMBL3545402	Kdr
CHEMBL2110727	Ccr5
CHEMBL2109556	Folh1
CHEMBL2105763	Hdac1
CHEMBL2068724	Gabrb2
CHEMBL1201454	Adra1d
CHEMBL4650441	Il1rap
CHEMBL1200916	Htr2a
CHEMBL1201438	Il2rb
CHEMBL1742997	Tuba3b
CHEMBL1201242	Scn3a
CHEMBL3545085	BLK
CHEMBL1739	Chrnd
CHEMBL229430	Trpv1
CHEMBL2326966	Pik3ca
CHEMBL1201568	Csf3r
CHEMBL492399	Tubb4a
CHEMBL3989949	Scn8a
CHEMBL970	Gabrb3
CHEMBL328560	Car13
CHEMBL3334824	Ccr1
CHEMBL4297935	Tubb2a
CHEMBL459	Adra2b
CHEMBL467084	Grin2c
CHEMBL378544	Tubb1
CHEMBL1431	Ndufb10
CHEMBL3334824	Ccr1l1
CHEMBL3984441	Axl
CHEMBL294199	Trpv1
CHEMBL4279455	Tubb2b
CHEMBL4297721	Cd40
CHEMBL4594254	Chrnb2
CHEMBL2109229	Bcl2
CHEMBL2111100	Nod2
CHEMBL1405	Esr1
CHEMBL454	Gabrb1
CHEMBL7492	Dhfr
CHEMBL495727	Jak3
CHEMBL2105629	Tuba3b
CHEMBL2103791	Gabrb2
CHEMBL1200440	Scn8a
CHEMBL971	Gabrb3
CHEMBL655	Gabre
CHEMBL1659	Hrh1
CHEMBL4298101	Tubb4a
CHEMBL1829433	Kif11
CHEMBL3360203	Pik3r5
CHEMBL4466233	Prmt5
CHEMBL3577124	Araf
CHEMBL1240967	Adrb2
CHEMBL4298085	Lag3
CHEMBL4650289	Erbb2
CHEMBL3545213	Mapk9
CHEMBL451887	Psma3
CHEMBL431770	Adora2a
CHEMBL3545366	Pik3r5
CHEMBL4297268	Tuba1c
CHEMBL3545386	Bdkrb1
CHEMBL1201217	Scn4a
CHEMBL1200733	Kcnk18
CHEMBL506569	Atp1b1
CHEMBL359164	POLD3
CHEMBL2151439	CHRNA7
CHEMBL4297220	Bcr
CHEMBL363295	Cacna2d2
CHEMBL1272307	Hcrtr2
CHEMBL408403	Agtr1b
CHEMBL5314386	Ndufaf3
CHEMBL498	Kcnj11
CHEMBL1200950	Chrm3
CHEMBL5095032	HTR3E
CHEMBL303960	Ptger4
CHEMBL83063	Adrb2
CHEMBL1200578	Pde4b
CHEMBL2107771	Scn3a
CHEMBL2364605	Oprl1
CHEMBL360055	Chrng
CHEMBL3301589	TUBB8
CHEMBL1743081	Il13
CHEMBL3545085	Lck
CHEMBL3188551	Pik3cb
CHEMBL313972	Igf1r
CHEMBL17860	Adra2b
CHEMBL2108481	FGA
CHEMBL4650322	Gucy1b1
CHEMBL5315122	PSMB9
CHEMBL1981592	Adra2c
CHEMBL1237123	Chrnd
CHEMBL2109264	Cd3d
CHEMBL3622533	Hdac7
CHEMBL3039521	Folr1
CHEMBL41306	Grin2a
CHEMBL266510	Kcnq2
CHEMBL107	Tubb3
CHEMBL142635	Adra1d
CHEMBL1201293	Gabrg1
CHEMBL223360	Csf1r
CHEMBL1523964	Adra2a
CHEMBL796	Slc6a3
CHEMBL428690	Cdk4
CHEMBL473159	Cacng3
CHEMBL3545135	Ndufs3
CHEMBL1200641	Chrng
CHEMBL79	Scn7a
CHEMBL3542265	Ar
CHEMBL3545042	Grik5
CHEMBL566757	Nampt
CHEMBL4297181	Pik3cd
CHEMBL1201323	Hrh2
CHEMBL123292	RPS17
CHEMBL2107762	Kcnd2
CHEMBL1422	Dpp4
CHEMBL2108208	Tnf
CHEMBL4650343	Tyk2
CHEMBL1743003	Tnfrsf22
CHEMBL1096380	Tubb2b
CHEMBL3114577	Itgb3
CHEMBL511115	Pde4c
CHEMBL628	PDE8B
CHEMBL1201010	Nr3c2
CHEMBL4596972	Pik3cd
CHEMBL2016893	Rps6kb2
CHEMBL451887	Psmc4
CHEMBL2109124	Rpl9
CHEMBL2107834	Gucy1a1
CHEMBL2109281	Tuba4a
CHEMBL1399	Cyp19a1
CHEMBL564829	Cdk2
CHEMBL1456	Impdh1
CHEMBL3707355	Grin2b
CHEMBL770	Adra1b
CHEMBL284483	Ada
CHEMBL1201716	Igf1r
CHEMBL2106419	Cacna1s
CHEMBL256087	Trpa1
CHEMBL1276308	Pgr
CHEMBL1085699	Cacna1s
CHEMBL1230607	Cdk12
CHEMBL1336	Flt3
CHEMBL744	Scn2a
CHEMBL1201262	Adra2a
CHEMBL1201464	Lhcgr
CHEMBL232943	Bdkrb1
CHEMBL1703	NDUFA6
CHEMBL2448612	Adra1a
CHEMBL12	Gabra3
CHEMBL2109058	E2f7
CHEMBL2103884	Psmd3
CHEMBL1201178	Slc6a2
CHEMBL1200949	Hrh2
CHEMBL4567446	ACACA
CHEMBL414357	Glp1r
CHEMBL4297385	Slc6a3
CHEMBL1200733	Gabra5
CHEMBL53292	Ptgs1
CHEMBL1201242	Scn2a
CHEMBL1963681	Pde5a
CHEMBL2141296	Psmd12
CHEMBL1023	Rxrb
CHEMBL1200334	Scn11a
CHEMBL1689	Adra1b
CHEMBL146506	Rarb
CHEMBL3218578	Pik3cb
CHEMBL1200382	Cacng3
CHEMBL3039529	Tnnt3
CHEMBL1743076	Itga2b
CHEMBL467084	Grin1
CHEMBL655	Gabrp
CHEMBL52333	Adora1
CHEMBL1059	Cacng6
CHEMBL2106841	Cnr2
CHEMBL449	Gabrq
CHEMBL4297986	F9
CHEMBL3545427	Pdgfrb
CHEMBL2108585	Trp53
CHEMBL1743028	Tubb3
CHEMBL1555	Ache
CHEMBL2110732	Egfr
CHEMBL109480	Hsp90aa1
CHEMBL1628502	Cacnb1
CHEMBL2364607	Map2k1
CHEMBL1200877	Nr3c1
CHEMBL4298025	Erbb2
CHEMBL370805	Scn4a
CHEMBL3183075	Hrh2
CHEMBL2355333	Htr6
CHEMBL76222	Mmp9
CHEMBL554	Erbb2
CHEMBL5314382	Sstr3
CHEMBL2109288	Tuba1a
CHEMBL1200585	Ar
CHEMBL4297440	Tuba4a
CHEMBL1200335	Ar
CHEMBL1201605	Il2rg
CHEMBL4297296	Tuba1a
CHEMBL3697617	Drd1
CHEMBL467084	Grin3a
CHEMBL1201641	Insr
CHEMBL2110814	Grin3b
CHEMBL4297729	Cd274
CHEMBL2165191	Pik3ca
CHEMBL1201439	Il2rg
CHEMBL2109177	Itgal
CHEMBL1201244	Chrna1
CHEMBL3833386	Wt1
CHEMBL1200323	Adrb2
CHEMBL4297601	CETP
CHEMBL1207366	Grin2b
CHEMBL4650293	Tubb5
CHEMBL111659	Chrna4
CHEMBL1200681	Cysltr1
CHEMBL2103829	Oprm1
CHEMBL940	Cacna2d2
CHEMBL3301611	KCND1
CHEMBL4297804	Tuba3b
CHEMBL2107762	Kcnh1
CHEMBL4650827	Men1
CHEMBL2109247	Tnfrsf22
CHEMBL1766	Nr3c1
CHEMBL451887	Psmc6
CHEMBL941	Bcr
CHEMBL1200323	Adra1d
CHEMBL1096885	Top2a
CHEMBL979	Gabra3
CHEMBL2079130	Atp4a
CHEMBL3545058	Thra
CHEMBL49642	Tubb5
CHEMBL3545401	Pdgfra
CHEMBL603469	Flt3
CHEMBL3989833	Htr2a
CHEMBL1398126	Scnn1b
CHEMBL3707317	Gabrq
CHEMBL468	Cul4a
CHEMBL1102	Gabrq
CHEMBL272980	Hdac3
CHEMBL2219774	Birc5
CHEMBL572284	Tubb1
CHEMBL3545135	Ndufa6
CHEMBL2103863	Hdac3
CHEMBL565612	Prkcb
CHEMBL4594287	Pde4c
CHEMBL24072	Calm1
CHEMBL13376	Ptgs2
CHEMBL1256818	Grin2a
CHEMBL4650392	Tigit
CHEMBL483254	Hdac3
CHEMBL404849	Cacnb1
CHEMBL2103827	Adra2c
CHEMBL2103836	Cacna1a
CHEMBL1200586	Scn1a
CHEMBL761	Adra1b
CHEMBL817	Kcnj11
CHEMBL2109124	RPL36A
CHEMBL970	Gabra2
CHEMBL39541	Tuba1b
CHEMBL655	Gabrd
CHEMBL1341	Gabrg3
CHEMBL4297935	TUBB8
CHEMBL1200341	Scn7a
CHEMBL193240	Pde4c
CHEMBL1201610	Mc2r
CHEMBL2109281	Tuba1b
CHEMBL4594569	Tnfsf4
CHEMBL2109124	Rpl3
CHEMBL3186492	Htr3a
CHEMBL2107771	Scn2a
CHEMBL384304	Cdk4
CHEMBL284348	Kcna7
CHEMBL388590	Slc22a12
CHEMBL4297333	Tlr2
CHEMBL2109268	Cd37
CHEMBL1743048	Ms4a1
CHEMBL2106227	Gabrg2
CHEMBL1201108	Avpr2
CHEMBL1232461	Brd4
CHEMBL211456	Adrb1
CHEMBL6318	Esr1
CHEMBL2105646	Chrna3
CHEMBL558752	Braf
CHEMBL30219	Gabrb2
CHEMBL1743082	Tuba1a
CHEMBL1423	Drd1
CHEMBL4297604	Lta4h
CHEMBL2108594	Bmpr2
CHEMBL488436	Cdk2
CHEMBL477	Adora2a
CHEMBL888	Pold1
CHEMBL295698	Cyp17a1
CHEMBL4594531	Cd37
CHEMBL188462	Chrnb2
CHEMBL971	Gabra2
CHEMBL1717	P2ry12
CHEMBL12	Gabrb3
CHEMBL4297789	Rps4x
CHEMBL2109124	Rpl9-ps6
CHEMBL5315122	Psmd12
CHEMBL4297942	Cx3cl1
CHEMBL2402737	Mdm2
CHEMBL201960	Slc6a3
CHEMBL2062257	Adra2a
CHEMBL3545213	Mapk10
CHEMBL2109474	Cd4
CHEMBL969	Gabra5
CHEMBL325041	Psmd6
CHEMBL3301621	Slc6a3
CHEMBL334966	P2ry12
CHEMBL56564	HTR3D
CHEMBL679	Adrb2
CHEMBL4585668	Epas1
CHEMBL4297938	TUBA3E
CHEMBL2107383	Kcnh2
CHEMBL3545321	Cdc7
CHEMBL494089	Prkce
CHEMBL5314390	Prkcg
CHEMBL3181947	Ptgs2
CHEMBL193	CACNA1C
CHEMBL679	Adra1d
CHEMBL2109281	Tubb6
CHEMBL1922094	Mtor
CHEMBL2108575	Sell
CHEMBL3989803	Ptgs2
CHEMBL4297440	Tuba1b
CHEMBL3545323	Mtor
CHEMBL94657	Tubb1
CHEMBL1071	Ptgs2
CHEMBL3678958	Abl1
CHEMBL475534	CACNA1C
CHEMBL2108499	Plat
CHEMBL1200728	Kcng3
CHEMBL2219425	Htr1a
CHEMBL4297460	Pde4c
CHEMBL2109500	KIR2DL1
CHEMBL701	Gabbr1
CHEMBL2106643	Impdh2
CHEMBL4594310	Fcgrt
CHEMBL5314390	Ntrk3
CHEMBL738	Gabra5
CHEMBL3039596	Ace
CHEMBL1448187	Drd2
CHEMBL2109355	Igf2
CHEMBL5314390	Prkci
CHEMBL803	Pole
CHEMBL482767	Aurka
CHEMBL123292	Rps20
CHEMBL2108681	Il23a
CHEMBL5314386	Ndufaf2
CHEMBL1200341	Scn5a
CHEMBL979	Gabrb3
CHEMBL2108708	Muc5ac
CHEMBL654	Adra2b
CHEMBL315795	Gabra6
CHEMBL1213252	Gabra1
CHEMBL681	Gabrb2
CHEMBL444172	Abcb1a
CHEMBL5314410	Egfr
CHEMBL1201828	AI182371
CHEMBL703	CHRNB1
CHEMBL931	Gabra1
CHEMBL3990039	Tfpi
CHEMBL741	Scn1a
CHEMBL2108208	TNF
CHEMBL524	Adra1a
CHEMBL271227	Cyp17a1
CHEMBL3545432	Psmb5
CHEMBL274654	Fgfr3
CHEMBL1200948	Adra1a
CHEMBL4650273	Mc4r
CHEMBL19449	Pde4c
CHEMBL452	Gabrb1
CHEMBL2108426	Plat
CHEMBL4297440	Tubb6
CHEMBL2095222	Lama3
CHEMBL1201302	Nr3c1
CHEMBL1423	Drd3
CHEMBL286738	Sts
CHEMBL3989954	Inpp5d
CHEMBL3545300	Fgfr2
CHEMBL1743066	Ifnab
CHEMBL2108709	Col6a5
CHEMBL1230122	Mapk14
CHEMBL2111112	Kcnj3
CHEMBL3039553	Hspb1
CHEMBL1237022	Il6ra
CHEMBL1201234	Adra1b
CHEMBL1230607	Cdk14
CHEMBL2219425	Drd2
CHEMBL502835	Fgfr3
CHEMBL1200323	Adrb3
CHEMBL1698	Slc6a3
CHEMBL550	Chrm1
CHEMBL483158	Aurka
CHEMBL2051955	Tnnt2
CHEMBL4084119	Glp1r
CHEMBL4105630	Gabrg3
CHEMBL57997	Adora1
CHEMBL544	Tyr
CHEMBL2111110	Kcnh2
CHEMBL184412	Scn7a
CHEMBL3545381	Ntrk2
CHEMBL248702	Htr2b
CHEMBL404849	CACNA2D4
CHEMBL2103829	Slc6a4
CHEMBL4650276	Ar
CHEMBL1201052	Drd2
CHEMBL1200437	Scn8a
CHEMBL2109337	Cd19
CHEMBL2151439	HTR3C
CHEMBL1200479	Chrm1
CHEMBL1201754	Scn10a
CHEMBL574737	Prkcz
CHEMBL962	Ptgir
CHEMBL1611	Scn11a
CHEMBL563646	Ptger2
CHEMBL190	Adora2a
CHEMBL1201336	Scn8a
CHEMBL3989872	Grin2a
CHEMBL1642	Pdgfrb
CHEMBL1922094	Pik3r1
CHEMBL4594301	Gabre
CHEMBL1421	BLK
CHEMBL5314407	Braf
CHEMBL488436	Cdk3
CHEMBL1200773	Scn7a
CHEMBL1200339	Adra1a
CHEMBL1200549	Chrne
CHEMBL473159	Cacna2d4
CHEMBL5314391	Flt1
CHEMBL1980391	Fgfr1
CHEMBL1200569	Adora1
CHEMBL1144	Hmgcr
CHEMBL1197	Scn7a
CHEMBL24828	Ephb3
CHEMBL112797	Gabbr2
CHEMBL2107771	Maob
CHEMBL1075	Scn11a
CHEMBL22055	Gnrhr
CHEMBL821	Kcnq2
CHEMBL2007641	Erbb2
CHEMBL900	Scn9a
CHEMBL473159	Cacna1f
CHEMBL4298024	Tgfb2
CHEMBL403989	Lck
CHEMBL911	Gabrb1
CHEMBL3301589	Tubb4a
CHEMBL1742992	Cd3d
CHEMBL3622533	Hdac4
CHEMBL4297880	Cd47
CHEMBL4650393	Cd3d
CHEMBL1064	Hmgcr
CHEMBL3545368	Hdac8
CHEMBL429876	Itgav
CHEMBL1671	Adrb1
CHEMBL2109124	Rps18
CHEMBL762	Adra2b
CHEMBL1201103	Adra1d
CHEMBL1256842	Slc6a3
CHEMBL4297789	Rps8
CHEMBL1742994	Tubb3
CHEMBL4297427	OPRL1
CHEMBL1546	Adra2b
CHEMBL39541	Tubb2b
CHEMBL1200771	Chrm3
CHEMBL328560	Car6
CHEMBL1200903	Gabrq
CHEMBL90555	Tubb2b
CHEMBL3545305	Csf2rb
CHEMBL3301582	Tubb2b
CHEMBL2304041	TUBA3E
CHEMBL2368861	Oprk1
CHEMBL2110725	Tubb4b
CHEMBL3545248	Pik3r2
CHEMBL2109295	Acvrl1
CHEMBL1256	Gabra4
CHEMBL1200722	Chrng
CHEMBL325424	Serpine1
CHEMBL2109309	Pdcd1lg2
CHEMBL1743032	Itgb3
CHEMBL2103884	Psma8
CHEMBL2106155	Scn11a
CHEMBL2103791	Gabra4
CHEMBL107	Tuba3b
CHEMBL4297856	PDCD1
CHEMBL1230609	Flt4
CHEMBL454	Gabrq
CHEMBL587723	Flt1
CHEMBL363295	Chrm2
CHEMBL2110368	Slc6a2
CHEMBL2109495	Tfr2
CHEMBL679	Adrb3
CHEMBL159	Tuba4a
CHEMBL1684984	Pik3r2
CHEMBL3545135	mt-Nd4
CHEMBL1200670	Agtr1a
CHEMBL1272307	Hcrtr1
CHEMBL1444	Cyp19a1
CHEMBL184412	Scn5a
CHEMBL1742992	Cd19
CHEMBL273575	Slc6a2
CHEMBL830	Odc1
CHEMBL2108282	F13a1
CHEMBL29919	Cacna1s
CHEMBL3301622	Axl
CHEMBL704	Ptgs1
CHEMBL2408045	Erbb3
CHEMBL968	Gabrg3
CHEMBL4297923	Ctag2l2
CHEMBL1200382	Cacna1f
CHEMBL1421	Lck
CHEMBL3989496	Rrm2
CHEMBL3545057	Atp1a2
CHEMBL18	Car1
CHEMBL573677	Nr1h2
CHEMBL544665	S1pr4
CHEMBL281764	Cyp3a44
CHEMBL12	Gabra2
CHEMBL3707396	P2rx7
CHEMBL4298009	Lag3
CHEMBL4297507	Jak2
CHEMBL1743004	App
CHEMBL3545401	Flt1
CHEMBL1200773	Scn5a
CHEMBL1200733	Gabra1
CHEMBL1523964	Adra1a
CHEMBL4297188	Akt1
CHEMBL2109636	AI182371
